SystemTime_ISO,MsgType,FC_Time_us,I2Cerr,Vcc,mavpackettype
2025-12-14 23:49:42.074,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:42.168,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:42.268,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:42.368,HWSTATUS,0,0,5236,HWSTATUS
2025-12-14 23:49:42.468,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:42.568,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:42.668,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:42.767,HWSTATUS,0,0,5237,HWSTATUS
2025-12-14 23:49:42.867,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:42.967,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:43.067,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:43.167,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:43.267,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:43.367,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:43.468,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:43.568,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:43.667,HWSTATUS,0,0,5229,HWSTATUS
2025-12-14 23:49:43.768,HWSTATUS,0,0,5232,HWSTATUS
2025-12-14 23:49:43.867,HWSTATUS,0,0,5234,HWSTATUS
2025-12-14 23:49:43.967,HWSTATUS,0,0,5236,HWSTATUS
2025-12-14 23:49:44.067,HWSTATUS,0,0,5236,HWSTATUS
2025-12-14 23:49:44.168,HWSTATUS,0,0,5233,HWSTATUS
2025-12-14 23:49:44.268,HWSTATUS,0,0,5235,HWSTATUS
2025-12-14 23:49:44.367,HWSTATUS,0,0,5233,HWSTATUS
2025-12-14 23:49:44.467,HWSTATUS,0,0,5234,HWSTATUS
2025-12-14 23:49:44.567,HWSTATUS,0,0,5229,HWSTATUS
2025-12-14 23:49:44.667,HWSTATUS,0,0,5234,HWSTATUS
2025-12-14 23:49:44.768,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:44.868,HWSTATUS,0,0,5232,HWSTATUS
2025-12-14 23:49:44.968,HWSTATUS,0,0,5229,HWSTATUS
2025-12-14 23:49:45.068,HWSTATUS,0,0,5231,HWSTATUS
2025-12-14 23:49:45.168,HWSTATUS,0,0,5228,HWSTATUS
2025-12-14 23:49:45.270,HWSTATUS,0,0,5233,HWSTATUS
2025-12-14 23:49:45.368,HWSTATUS,0,0,5233,HWSTATUS
2025-12-14 23:49:45.467,HWSTATUS,0,0,5227,HWSTATUS
2025-12-14 23:49:45.568,HWSTATUS,0,0,5229,HWSTATUS
2025-12-14 23:49:45.667,HWSTATUS,0,0,5231,HWSTATUS
2025-12-14 23:49:45.768,HWSTATUS,0,0,5228,HWSTATUS
2025-12-14 23:49:45.867,HWSTATUS,0,0,5231,HWSTATUS
2025-12-14 23:49:45.970,HWSTATUS,0,0,5231,HWSTATUS
2025-12-14 23:49:46.073,HWSTATUS,0,0,5233,HWSTATUS
2025-12-14 23:49:46.173,HWSTATUS,0,0,5232,HWSTATUS
2025-12-14 23:49:46.273,HWSTATUS,0,0,5230,HWSTATUS
2025-12-14 23:49:46.372,HWSTATUS,0,0,5232,HWSTATUS
2025-12-14 23:49:46.472,HWSTATUS,0,0,5233,HWSTATUS
2025-12-14 23:49:46.572,HWSTATUS,0,0,5237,HWSTATUS
2025-12-14 23:49:46.672,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:46.772,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:46.872,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:46.972,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:47.072,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:47.172,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:47.272,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:47.372,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:47.472,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:47.572,HWSTATUS,0,0,5235,HWSTATUS
2025-12-14 23:49:47.672,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:47.772,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:47.872,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:47.971,HWSTATUS,0,0,5236,HWSTATUS
2025-12-14 23:49:48.071,HWSTATUS,0,0,5237,HWSTATUS
2025-12-14 23:49:48.171,HWSTATUS,0,0,5237,HWSTATUS
2025-12-14 23:49:48.271,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:48.371,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:48.471,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:48.571,HWSTATUS,0,0,5236,HWSTATUS
2025-12-14 23:49:48.671,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:48.771,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:48.871,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:48.973,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:49.072,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:49.172,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:49.271,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:49.371,HWSTATUS,0,0,5237,HWSTATUS
2025-12-14 23:49:49.471,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:49.572,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:49.671,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:49.772,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:49.871,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:49.971,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:50.072,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:50.172,HWSTATUS,0,0,5237,HWSTATUS
2025-12-14 23:49:50.272,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:50.372,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:50.472,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:50.571,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:50.672,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:50.772,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:50.872,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:50.972,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:51.072,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:51.172,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:51.272,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:51.372,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:51.472,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:51.572,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:51.672,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:51.772,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:51.872,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:51.972,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:52.073,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:52.172,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:52.272,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:52.372,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:52.474,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:52.574,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:52.672,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:52.772,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:52.874,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:52.972,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:53.072,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:53.172,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:53.274,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:53.373,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:53.472,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:53.572,HWSTATUS,0,0,5236,HWSTATUS
2025-12-14 23:49:53.673,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:53.773,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:53.873,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:53.973,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:54.073,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:54.172,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:54.273,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:54.373,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:54.473,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:54.573,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:54.673,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:54.773,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:54.872,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:54.972,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:55.073,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:55.172,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:55.272,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:55.372,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:55.472,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:55.572,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:49:55.672,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:55.772,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:55.872,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:55.972,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:56.072,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:56.172,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:56.272,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:56.372,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:56.472,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:56.572,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:56.672,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:56.772,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:56.872,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:56.972,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:57.073,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:57.172,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:57.271,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:57.372,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:57.471,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:57.573,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:57.672,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:57.772,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:49:57.872,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:57.972,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:49:58.072,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:58.173,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:58.272,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:49:58.372,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:49:58.472,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:58.573,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:58.672,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:58.773,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:58.867,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:58.968,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:59.068,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:59.168,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:49:59.268,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:59.368,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:49:59.469,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:49:59.568,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:59.668,HWSTATUS,0,0,5237,HWSTATUS
2025-12-14 23:49:59.768,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:49:59.868,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:49:59.968,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:00.068,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:00.167,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:50:00.268,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:50:00.367,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:50:00.468,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:50:00.568,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:50:00.668,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:00.768,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:50:00.869,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:50:00.968,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:50:01.068,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:50:01.168,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:01.268,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:01.368,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:01.467,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:01.569,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:01.668,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:01.768,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:01.868,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:01.968,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:50:02.068,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:50:02.168,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:02.269,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:02.368,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:02.468,HWSTATUS,0,0,5238,HWSTATUS
2025-12-14 23:50:02.568,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:50:02.669,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:02.768,HWSTATUS,0,0,5237,HWSTATUS
2025-12-14 23:50:02.868,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:02.968,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:50:03.068,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:03.168,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:03.268,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:03.368,HWSTATUS,0,0,5237,HWSTATUS
2025-12-14 23:50:03.468,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:03.568,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:03.668,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:03.768,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:50:03.871,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:03.974,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:04.073,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:04.172,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:04.273,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:04.372,HWSTATUS,0,0,5245,HWSTATUS
2025-12-14 23:50:04.472,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:50:04.572,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:04.672,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:04.773,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:04.873,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:04.973,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:05.072,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:05.173,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:05.273,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:05.373,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:05.473,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:05.572,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:05.673,HWSTATUS,0,0,5246,HWSTATUS
2025-12-14 23:50:05.774,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:05.873,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:05.973,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:06.073,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:06.173,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:06.273,HWSTATUS,0,0,5245,HWSTATUS
2025-12-14 23:50:06.373,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:50:06.473,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:50:06.573,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:06.673,HWSTATUS,0,0,5241,HWSTATUS
2025-12-14 23:50:06.773,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:50:06.873,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:06.972,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:07.072,HWSTATUS,0,0,5245,HWSTATUS
2025-12-14 23:50:07.172,HWSTATUS,0,0,5245,HWSTATUS
2025-12-14 23:50:07.272,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:07.372,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:07.472,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:50:07.572,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:07.672,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:07.772,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:07.874,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:07.973,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:08.072,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:08.172,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:08.272,HWSTATUS,0,0,5245,HWSTATUS
2025-12-14 23:50:08.372,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:08.472,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:08.572,HWSTATUS,0,0,5245,HWSTATUS
2025-12-14 23:50:08.672,HWSTATUS,0,0,5245,HWSTATUS
2025-12-14 23:50:08.772,HWSTATUS,0,0,5245,HWSTATUS
2025-12-14 23:50:08.872,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:50:08.972,HWSTATUS,0,0,5248,HWSTATUS
2025-12-14 23:50:09.072,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:09.172,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:09.272,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:09.372,HWSTATUS,0,0,5239,HWSTATUS
2025-12-14 23:50:09.472,HWSTATUS,0,0,5237,HWSTATUS
2025-12-14 23:50:09.572,HWSTATUS,0,0,5240,HWSTATUS
2025-12-14 23:50:09.672,HWSTATUS,0,0,5246,HWSTATUS
2025-12-14 23:50:09.772,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:09.872,HWSTATUS,0,0,5247,HWSTATUS
2025-12-14 23:50:09.972,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:10.072,HWSTATUS,0,0,5245,HWSTATUS
2025-12-14 23:50:10.172,HWSTATUS,0,0,5246,HWSTATUS
2025-12-14 23:50:10.272,HWSTATUS,0,0,5246,HWSTATUS
2025-12-14 23:50:10.372,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:10.472,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:10.572,HWSTATUS,0,0,5245,HWSTATUS
2025-12-14 23:50:10.672,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:10.773,HWSTATUS,0,0,5246,HWSTATUS
2025-12-14 23:50:10.874,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:10.973,HWSTATUS,0,0,5247,HWSTATUS
2025-12-14 23:50:11.073,HWSTATUS,0,0,5244,HWSTATUS
2025-12-14 23:50:11.172,HWSTATUS,0,0,5242,HWSTATUS
2025-12-14 23:50:11.272,HWSTATUS,0,0,5246,HWSTATUS
2025-12-14 23:50:11.372,HWSTATUS,0,0,5243,HWSTATUS
2025-12-14 23:50:11.472,HWSTATUS,0,0,5245,HWSTATUS
2025-12-14 23:50:11.573,HWSTATUS,0,0,5245,HWSTATUS
