SystemTime_ISO,MsgType,FC_Time_us,autopilot,base_mode,custom_mode,mavlink_version,mavpackettype,system_status,type
2025-12-14 21:36:47.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:36:48.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:36:49.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:36:50.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:36:51.337,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:36:52.337,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:36:53.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:36:54.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:36:55.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:36:56.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:36:57.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:36:58.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:36:59.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:00.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:01.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:02.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:03.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:04.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:05.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:06.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:07.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:08.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:09.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:10.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:11.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:12.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:13.338,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:14.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:15.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:16.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:17.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:18.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:19.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:20.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:21.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:22.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:23.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:24.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:25.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:26.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:27.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:28.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:29.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:30.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:31.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:32.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:33.339,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:34.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:35.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:36.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:37:37.340,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
