SystemTime_ISO,MsgType,FC_Time_us,I2Cerr,Vcc,mavpackettype
2025-12-14 21:36:46.379,HWSTATUS,0,0,5253,HWSTATUS
2025-12-14 21:36:46.400,HWSTATUS,0,0,5262,HWSTATUS
2025-12-14 21:36:46.417,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:46.434,HWSTATUS,0,0,5263,HWSTATUS
2025-12-14 21:36:46.455,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:46.474,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:46.496,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:46.515,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:46.535,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:46.555,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:46.574,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:46.595,HWSTATUS,0,0,5254,HWSTATUS
2025-12-14 21:36:46.616,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:46.634,HWSTATUS,0,0,5262,HWSTATUS
2025-12-14 21:36:46.655,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:46.673,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:46.695,HWSTATUS,0,0,5263,HWSTATUS
2025-12-14 21:36:46.714,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:46.734,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:46.754,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:46.774,HWSTATUS,0,0,5253,HWSTATUS
2025-12-14 21:36:46.795,HWSTATUS,0,0,5264,HWSTATUS
2025-12-14 21:36:46.814,HWSTATUS,0,0,5263,HWSTATUS
2025-12-14 21:36:46.835,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:46.853,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:46.875,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:46.895,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:46.914,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:46.935,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:46.954,HWSTATUS,0,0,5254,HWSTATUS
2025-12-14 21:36:46.974,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:46.994,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:47.014,HWSTATUS,0,0,5262,HWSTATUS
2025-12-14 21:36:47.034,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:47.054,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:47.074,HWSTATUS,0,0,5262,HWSTATUS
2025-12-14 21:36:47.095,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:47.115,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:47.137,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:47.154,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:47.174,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:47.195,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:47.215,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:47.234,HWSTATUS,0,0,5266,HWSTATUS
2025-12-14 21:36:47.254,HWSTATUS,0,0,5253,HWSTATUS
2025-12-14 21:36:47.274,HWSTATUS,0,0,5253,HWSTATUS
2025-12-14 21:36:47.295,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:47.316,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:47.334,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:47.354,HWSTATUS,0,0,5256,HWSTATUS
