SystemTime_ISO,MsgType,FC_Time_us,mavpackettype,temperature,xacc,xgyro,xmag,yacc,ygyro,ymag,zacc,zgyro,zmag
2025-12-14 21:36:46.374,SCALED_IMU3,14208860,SCALED_IMU3,4999,-18,-3,0,9,2,0,-1000,3,0
2025-12-14 21:36:46.396,SCALED_IMU3,14208878,SCALED_IMU3,4999,-17,-3,0,9,1,0,-1001,3,0
2025-12-14 21:36:46.415,SCALED_IMU3,14208897,SCALED_IMU3,4999,-17,-3,0,9,2,0,-1000,3,0
2025-12-14 21:36:46.432,SCALED_IMU3,14208920,SCALED_IMU3,4999,-18,-2,0,7,3,0,-1000,4,0
2025-12-14 21:36:46.452,SCALED_IMU3,14208937,SCALED_IMU3,4999,-17,-1,0,9,1,0,-1004,4,0
2025-12-14 21:36:46.471,SCALED_IMU3,14208960,SCALED_IMU3,4999,-18,-2,0,8,3,0,-1002,4,0
2025-12-14 21:36:46.492,SCALED_IMU3,14208978,SCALED_IMU3,4999,-18,-4,0,9,2,0,-1003,3,0
2025-12-14 21:36:46.512,SCALED_IMU3,14208998,SCALED_IMU3,4999,-19,-2,0,9,1,0,-1002,4,0
2025-12-14 21:36:46.533,SCALED_IMU3,14209020,SCALED_IMU3,4999,-18,-3,0,6,3,0,-1002,3,0
2025-12-14 21:36:46.552,SCALED_IMU3,14209037,SCALED_IMU3,4999,-19,-1,0,8,2,0,-1001,2,0
2025-12-14 21:36:46.572,SCALED_IMU3,14209060,SCALED_IMU3,4999,-19,-1,0,9,1,0,-999,4,0
2025-12-14 21:36:46.593,SCALED_IMU3,14209080,SCALED_IMU3,4999,-20,-1,0,7,1,0,-999,3,0
2025-12-14 21:36:46.612,SCALED_IMU3,14209097,SCALED_IMU3,4999,-18,0,0,7,4,0,-1001,2,0
2025-12-14 21:36:46.632,SCALED_IMU3,14209119,SCALED_IMU3,4999,-19,-2,0,7,0,0,-1000,2,0
2025-12-14 21:36:46.651,SCALED_IMU3,14209137,SCALED_IMU3,4999,-19,-4,0,7,2,0,-1001,2,0
2025-12-14 21:36:46.671,SCALED_IMU3,14209160,SCALED_IMU3,5000,-18,-2,0,10,0,0,-1000,4,0
2025-12-14 21:36:46.692,SCALED_IMU3,14209180,SCALED_IMU3,5000,-18,-1,0,11,2,0,-1001,4,0
2025-12-14 21:36:46.712,SCALED_IMU3,14209200,SCALED_IMU3,5000,-18,-1,0,10,1,0,-1004,5,0
2025-12-14 21:36:46.732,SCALED_IMU3,14209220,SCALED_IMU3,4999,-19,-1,0,9,0,0,-1001,4,0
2025-12-14 21:36:46.752,SCALED_IMU3,14209237,SCALED_IMU3,5000,-18,-4,0,9,1,0,-1002,4,0
2025-12-14 21:36:46.771,SCALED_IMU3,14209260,SCALED_IMU3,4999,-19,1,0,8,3,0,-1000,2,0
2025-12-14 21:36:46.792,SCALED_IMU3,14209278,SCALED_IMU3,4999,-19,0,0,8,3,0,-1000,2,0
2025-12-14 21:36:46.812,SCALED_IMU3,14209297,SCALED_IMU3,4999,-17,-2,0,9,1,0,-999,4,0
2025-12-14 21:36:46.832,SCALED_IMU3,14209317,SCALED_IMU3,4999,-17,-6,0,7,0,0,-1000,5,0
2025-12-14 21:36:46.851,SCALED_IMU3,14209340,SCALED_IMU3,5000,-17,-2,0,11,2,0,-998,5,0
2025-12-14 21:36:46.872,SCALED_IMU3,14209360,SCALED_IMU3,5000,-18,-3,0,8,0,0,-1000,6,0
2025-12-14 21:36:46.892,SCALED_IMU3,14209380,SCALED_IMU3,5000,-19,-4,0,9,4,0,-1001,5,0
2025-12-14 21:36:46.912,SCALED_IMU3,14209397,SCALED_IMU3,5000,-18,-3,0,8,0,0,-1002,3,0
2025-12-14 21:36:46.932,SCALED_IMU3,14209419,SCALED_IMU3,5000,-19,-3,0,9,0,0,-999,2,0
2025-12-14 21:36:46.951,SCALED_IMU3,14209440,SCALED_IMU3,5000,-19,-2,0,8,2,0,-1001,5,0
