SystemTime_ISO,MsgType,FC_Time_us,mavpackettype,temperature,xacc,xgyro,xmag,yacc,ygyro,ymag,zacc,zgyro,zmag
2025-12-15 00:39:17.265,SCALED_IMU,312512,SCALED_IMU,4480,1,0,-33,10,-1,-240,-996,0,129
2025-12-15 00:39:17.361,SCALED_IMU,312612,SCALED_IMU,4528,1,0,-28,10,-1,-241,-998,0,114
2025-12-15 00:39:17.461,SCALED_IMU,312709,SCALED_IMU,4528,2,0,-15,10,-1,-248,-996,0,119
2025-12-15 00:39:17.561,SCALED_IMU,312809,SCALED_IMU,4528,1,0,-39,10,-1,-263,-997,0,123
2025-12-15 00:39:17.661,SCALED_IMU,312909,SCALED_IMU,4480,1,0,-51,10,-2,-239,-998,0,112
2025-12-15 00:39:17.761,SCALED_IMU,313009,SCALED_IMU,4528,2,0,-40,10,-1,-240,-996,0,118
2025-12-15 00:39:17.861,SCALED_IMU,313109,SCALED_IMU,4480,1,0,-37,9,-1,-243,-998,0,140
2025-12-15 00:39:17.961,SCALED_IMU,313209,SCALED_IMU,4480,2,0,-29,10,-1,-241,-998,0,133
2025-12-15 00:39:18.061,SCALED_IMU,313309,SCALED_IMU,4528,2,0,-43,10,-2,-259,-997,0,125
2025-12-15 00:39:18.161,SCALED_IMU,313412,SCALED_IMU,4528,1,0,-41,10,-1,-262,-996,0,115
2025-12-15 00:39:18.262,SCALED_IMU,313512,SCALED_IMU,4528,1,0,-32,9,-1,-249,-998,0,155
2025-12-15 00:39:18.362,SCALED_IMU,313612,SCALED_IMU,4528,2,0,-46,11,-1,-260,-998,0,122
2025-12-15 00:39:18.462,SCALED_IMU,313712,SCALED_IMU,4528,2,0,-43,10,-1,-242,-997,0,122
2025-12-15 00:39:18.562,SCALED_IMU,313812,SCALED_IMU,4528,0,0,-30,10,-1,-262,-998,0,134
2025-12-15 00:39:18.662,SCALED_IMU,313912,SCALED_IMU,4480,1,0,-29,10,-2,-261,-998,0,122
2025-12-15 00:39:18.762,SCALED_IMU,314012,SCALED_IMU,4480,2,0,-23,10,-1,-244,-996,0,112
2025-12-15 00:39:18.861,SCALED_IMU,314112,SCALED_IMU,4480,0,0,-38,10,-1,-273,-998,0,152
2025-12-15 00:39:18.961,SCALED_IMU,314209,SCALED_IMU,4528,2,0,-34,10,-1,-262,-996,0,126
2025-12-15 00:39:19.061,SCALED_IMU,314312,SCALED_IMU,4480,2,0,-41,10,-1,-239,-996,0,115
2025-12-15 00:39:19.161,SCALED_IMU,314409,SCALED_IMU,4480,1,0,-45,10,-1,-246,-998,0,128
2025-12-15 00:39:19.261,SCALED_IMU,314509,SCALED_IMU,4528,2,0,-44,11,-1,-227,-997,0,130
2025-12-15 00:39:19.361,SCALED_IMU,314609,SCALED_IMU,4480,1,0,-45,10,-1,-239,-998,0,132
2025-12-15 00:39:19.461,SCALED_IMU,314709,SCALED_IMU,4480,1,0,-50,10,-1,-238,-998,0,117
2025-12-15 00:39:19.561,SCALED_IMU,314809,SCALED_IMU,4528,2,0,-43,10,-1,-241,-997,0,130
2025-12-15 00:39:19.661,SCALED_IMU,314909,SCALED_IMU,4528,1,0,-48,10,-1,-241,-997,0,119
2025-12-15 00:39:19.761,SCALED_IMU,315009,SCALED_IMU,4528,0,0,-49,10,-1,-244,-997,0,126
2025-12-15 00:39:19.861,SCALED_IMU,315112,SCALED_IMU,4480,1,0,-42,10,-1,-259,-998,0,154
2025-12-15 00:39:19.961,SCALED_IMU,315212,SCALED_IMU,4528,2,0,-34,10,-1,-243,-997,0,127
2025-12-15 00:39:20.061,SCALED_IMU,315312,SCALED_IMU,4480,1,0,-53,10,-1,-255,-997,0,127
2025-12-15 00:39:20.162,SCALED_IMU,315412,SCALED_IMU,4528,1,0,-49,10,-1,-263,-998,0,127
2025-12-15 00:39:20.261,SCALED_IMU,315512,SCALED_IMU,4480,2,0,-36,11,-1,-233,-997,0,116
2025-12-15 00:39:20.361,SCALED_IMU,315612,SCALED_IMU,4528,2,0,-39,10,-1,-260,-997,0,128
2025-12-15 00:39:20.461,SCALED_IMU,315712,SCALED_IMU,4528,1,0,-47,10,-1,-253,-998,0,135
2025-12-15 00:39:20.561,SCALED_IMU,315809,SCALED_IMU,4528,2,0,-47,10,-1,-238,-996,0,120
2025-12-15 00:39:20.661,SCALED_IMU,315912,SCALED_IMU,4480,2,0,-37,10,-1,-242,-997,0,124
2025-12-15 00:39:20.761,SCALED_IMU,316009,SCALED_IMU,4528,2,0,-45,10,-1,-258,-997,0,120
2025-12-15 00:39:20.861,SCALED_IMU,316112,SCALED_IMU,4528,2,0,-43,10,-1,-256,-997,0,126
2025-12-15 00:39:20.961,SCALED_IMU,316209,SCALED_IMU,4480,1,0,-43,10,-1,-236,-997,0,108
2025-12-15 00:39:21.061,SCALED_IMU,316309,SCALED_IMU,4480,2,0,-31,10,-2,-232,-997,0,123
2025-12-15 00:39:21.161,SCALED_IMU,316409,SCALED_IMU,4528,1,0,-61,10,-1,-243,-996,0,138
2025-12-15 00:39:21.264,SCALED_IMU,316509,SCALED_IMU,4480,1,0,-52,10,-1,-231,-997,0,120
2025-12-15 00:39:21.365,SCALED_IMU,316612,SCALED_IMU,4528,1,0,-18,10,-1,-249,-998,0,125
2025-12-15 00:39:21.464,SCALED_IMU,316712,SCALED_IMU,4528,2,0,-26,11,-1,-275,-997,0,141
2025-12-15 00:39:21.564,SCALED_IMU,316812,SCALED_IMU,4528,1,0,-47,10,-1,-240,-997,0,119
2025-12-15 00:39:21.665,SCALED_IMU,316912,SCALED_IMU,4528,1,0,-42,10,-1,-249,-998,0,121
2025-12-15 00:39:21.764,SCALED_IMU,317012,SCALED_IMU,4480,2,0,-21,11,-1,-253,-997,0,132
2025-12-15 00:39:21.864,SCALED_IMU,317112,SCALED_IMU,4528,1,0,-36,10,-1,-239,-996,0,122
2025-12-15 00:39:21.964,SCALED_IMU,317212,SCALED_IMU,4480,1,0,-38,10,-1,-239,-998,0,124
2025-12-15 00:39:22.064,SCALED_IMU,317309,SCALED_IMU,4480,2,0,-46,10,-1,-245,-997,0,114
2025-12-15 00:39:22.165,SCALED_IMU,317409,SCALED_IMU,4528,1,0,-28,10,-1,-239,-997,-1,139
2025-12-15 00:39:22.264,SCALED_IMU,317509,SCALED_IMU,4528,2,0,-21,10,-2,-240,-997,0,128
2025-12-15 00:39:22.364,SCALED_IMU,317609,SCALED_IMU,4528,2,0,-33,10,-1,-242,-997,0,119
2025-12-15 00:39:22.464,SCALED_IMU,317709,SCALED_IMU,4528,1,0,-37,9,-1,-264,-997,0,125
2025-12-15 00:39:22.564,SCALED_IMU,317809,SCALED_IMU,4528,2,0,-39,10,-2,-269,-998,0,135
2025-12-15 00:39:22.664,SCALED_IMU,317909,SCALED_IMU,4528,2,0,-44,10,-1,-245,-997,0,112
2025-12-15 00:39:22.765,SCALED_IMU,318012,SCALED_IMU,4528,2,0,-40,10,-1,-280,-996,0,132
2025-12-15 00:39:22.864,SCALED_IMU,318109,SCALED_IMU,4528,1,0,-46,10,-1,-243,-998,0,125
2025-12-15 00:39:22.964,SCALED_IMU,318212,SCALED_IMU,4480,1,0,-30,10,-2,-252,-998,0,120
2025-12-15 00:39:23.065,SCALED_IMU,318312,SCALED_IMU,4528,2,0,-11,10,-1,-254,-996,0,145
2025-12-15 00:39:23.164,SCALED_IMU,318412,SCALED_IMU,4480,1,0,-33,10,-1,-241,-997,0,151
2025-12-15 00:39:23.264,SCALED_IMU,318512,SCALED_IMU,4528,1,0,-29,10,-1,-245,-998,0,121
2025-12-15 00:39:23.365,SCALED_IMU,318612,SCALED_IMU,4528,2,0,-24,11,-1,-250,-997,0,124
2025-12-15 00:39:23.465,SCALED_IMU,318712,SCALED_IMU,4528,1,0,-48,10,-1,-267,-997,0,145
2025-12-15 00:39:23.564,SCALED_IMU,318812,SCALED_IMU,4528,1,0,-42,10,-1,-252,-998,0,127
2025-12-15 00:39:23.665,SCALED_IMU,318909,SCALED_IMU,4480,1,0,-35,10,-1,-244,-996,0,134
2025-12-15 00:39:23.765,SCALED_IMU,319009,SCALED_IMU,4528,1,0,-43,10,-1,-256,-998,0,129
2025-12-15 00:39:23.864,SCALED_IMU,319109,SCALED_IMU,4480,2,0,-35,11,-2,-254,-997,0,136
2025-12-15 00:39:23.964,SCALED_IMU,319209,SCALED_IMU,4528,2,0,-34,10,-1,-239,-996,0,131
2025-12-15 00:39:24.064,SCALED_IMU,319309,SCALED_IMU,4528,1,0,-34,10,-1,-254,-997,-1,129
2025-12-15 00:39:24.165,SCALED_IMU,319409,SCALED_IMU,4480,2,0,-44,10,-2,-244,-998,0,140
2025-12-15 00:39:24.264,SCALED_IMU,319509,SCALED_IMU,4480,2,0,-53,10,-1,-264,-996,0,120
2025-12-15 00:39:24.363,SCALED_IMU,319609,SCALED_IMU,4480,0,0,-20,10,-1,-261,-997,0,131
2025-12-15 00:39:24.464,SCALED_IMU,319712,SCALED_IMU,4528,1,0,-40,10,-1,-259,-997,0,122
2025-12-15 00:39:24.564,SCALED_IMU,319812,SCALED_IMU,4480,2,0,-36,11,-2,-257,-997,0,122
2025-12-15 00:39:24.663,SCALED_IMU,319912,SCALED_IMU,4528,1,0,-42,10,-1,-254,-997,0,134
2025-12-15 00:39:24.763,SCALED_IMU,320012,SCALED_IMU,4480,1,0,-26,9,-1,-257,-997,0,145
2025-12-15 00:39:24.865,SCALED_IMU,320112,SCALED_IMU,4528,2,0,-24,11,-1,-237,-997,0,120
2025-12-15 00:39:24.964,SCALED_IMU,320212,SCALED_IMU,4480,2,0,-37,10,-1,-249,-996,0,115
2025-12-15 00:39:25.063,SCALED_IMU,320312,SCALED_IMU,4528,0,0,-50,10,-1,-271,-998,0,132
2025-12-15 00:39:25.163,SCALED_IMU,320409,SCALED_IMU,4528,2,0,-37,10,-1,-235,-996,0,140
2025-12-15 00:39:25.264,SCALED_IMU,320509,SCALED_IMU,4528,1,0,-43,10,-1,-233,-997,0,119
2025-12-15 00:39:25.364,SCALED_IMU,320612,SCALED_IMU,4528,0,0,-32,10,-2,-261,-998,0,125
