SystemTime_ISO,MsgType,FC_Time_us,body_pitch_rate,body_roll_rate,body_yaw_rate,mavpackettype,q,thrust,type_mask
2025-12-15 01:40:54.567,ATTITUDE_TARGET,3498042,-3.167509566992521e-05,3.473775359452702e-05,-1.6504826672036899e-10,ATTITUDE_TARGET,"[0.6632967591285706, -3.5059276797255734e-06, -3.739677651992679e-07, 0.7483565211296082]",0.0,0
2025-12-15 01:40:54.575,ATTITUDE_TARGET,3498142,-3.1675092031946406e-05,3.4737749956548214e-05,-1.6504821120921775e-10,ATTITUDE_TARGET,"[0.6632628440856934, -3.5059101719525643e-06, -3.741266709766933e-07, 0.7483866214752197]",0.0,0
2025-12-15 01:40:54.582,ATTITUDE_TARGET,4020337,-3.167495015077293e-05,3.473738979664631e-05,-1.6504575484077577e-10,ATTITUDE_TARGET,"[0.6562082171440125, -3.5022178508370416e-06, -4.070080592555314e-07, 0.7545799016952515]",0.0,0
2025-12-15 01:40:54.589,ATTITUDE_TARGET,4020442,-3.167494651279412e-05,3.4737386158667505e-05,-1.6504572708520016e-10,ATTITUDE_TARGET,"[0.6561552882194519, -3.5021892017539358e-06, -4.072534238730441e-07, 0.7546259164810181]",0.0,0
2025-12-15 01:40:54.626,ATTITUDE_TARGET,4020602,-3.167496470268816e-05,3.473739343462512e-05,-1.6504586586307823e-10,ATTITUDE_TARGET,"[0.6560776829719543, -3.502148729239707e-06, -4.0761318587101414e-07, 0.7546933889389038]",0.0,0
2025-12-15 01:40:54.648,ATTITUDE_TARGET,4020642,-3.167497197864577e-05,3.473739343462512e-05,-1.6504590749644166e-10,ATTITUDE_TARGET,"[0.6560660004615784, -3.50214259015047e-06, -4.076674429143168e-07, 0.7547035813331604]",0.0,0
2025-12-15 01:40:54.749,ATTITUDE_TARGET,4020742,-3.167497561662458e-05,3.473738979664631e-05,-1.6504590749644166e-10,ATTITUDE_TARGET,"[0.6560503840446472, -3.502134404698154e-06, -4.0773932141746627e-07, 0.7547171115875244]",0.0,0
2025-12-15 01:40:54.849,ATTITUDE_TARGET,4020842,-3.1674986530561e-05,3.4737397072603926e-05,-1.650459907631685e-10,ATTITUDE_TARGET,"[0.6560636758804321, -3.5021423627767945e-06, -4.0767750419945514e-07, 0.7547056078910828]",0.0,0
2025-12-15 01:40:54.949,ATTITUDE_TARGET,4020942,-3.167497561662458e-05,3.473740071058273e-05,-1.6504594912980508e-10,ATTITUDE_TARGET,"[0.6561163663864136, -3.5021705571125494e-06, -4.07433560667414e-07, 0.7546597719192505]",0.0,0
2025-12-15 01:40:55.049,ATTITUDE_TARGET,4021042,-3.167497197864577e-05,3.473739343462512e-05,-1.6504590749644166e-10,ATTITUDE_TARGET,"[0.6561696529388428, -3.502198524074629e-06, -4.071862065302412e-07, 0.75461345911026]",0.0,0
2025-12-15 01:40:55.150,ATTITUDE_TARGET,4021144,-3.167496470268816e-05,3.4737386158667505e-05,-1.650458242297148e-10,ATTITUDE_TARGET,"[0.6561506986618042, -3.5021876101382077e-06, -4.0727405803409056e-07, 0.7546299695968628]",0.0,0
2025-12-15 01:40:55.250,ATTITUDE_TARGET,4021244,-3.167495742673054e-05,3.473738979664631e-05,-1.650457964741392e-10,ATTITUDE_TARGET,"[0.656134843826294, -3.5021787425648654e-06, -4.073482102739945e-07, 0.7546437382698059]",0.0,0
2025-12-15 01:40:55.350,ATTITUDE_TARGET,4021344,-3.167494651279412e-05,3.473737888270989e-05,-1.6504569932962454e-10,ATTITUDE_TARGET,"[0.6561135649681091, -3.5021669191337423e-06, -4.074469188708463e-07, 0.754662275314331]",0.0,0
2025-12-15 01:40:55.449,ATTITUDE_TARGET,4021442,-3.167495742673054e-05,3.473738979664631e-05,-1.65045810351927e-10,ATTITUDE_TARGET,"[0.6560865044593811, -3.5021530493395403e-06, -4.075724007179815e-07, 0.7546856999397278]",0.0,0
