SystemTime_ISO,MsgType,FC_Time_us,mavpackettype,temperature,xacc,xgyro,xmag,yacc,ygyro,ymag,zacc,zgyro,zmag
2025-12-15 01:40:54.559,SCALED_IMU2,3498037,SCALED_IMU2,4808,1,2,0,13,-1,0,-1019,-1,0
2025-12-15 01:40:54.572,SCALED_IMU2,3498137,SCALED_IMU2,4808,3,5,0,13,0,0,-1019,-2,0
2025-12-15 01:40:54.579,SCALED_IMU2,4020334,SCALED_IMU2,4808,0,3,0,13,0,0,-1020,-3,0
2025-12-15 01:40:54.585,SCALED_IMU2,4020439,SCALED_IMU2,4808,0,2,0,13,-2,0,-1018,-2,0
2025-12-15 01:40:54.622,SCALED_IMU2,4020597,SCALED_IMU2,4808,1,2,0,12,-2,0,-1019,-2,0
2025-12-15 01:40:54.645,SCALED_IMU2,4020637,SCALED_IMU2,4808,2,3,0,12,-1,0,-1020,-2,0
2025-12-15 01:40:54.745,SCALED_IMU2,4020737,SCALED_IMU2,4808,1,1,0,11,-1,0,-1020,-2,0
2025-12-15 01:40:54.844,SCALED_IMU2,4020837,SCALED_IMU2,4807,0,1,0,13,-2,0,-1020,-4,0
2025-12-15 01:40:54.945,SCALED_IMU2,4020939,SCALED_IMU2,4807,2,2,0,12,-1,0,-1019,-3,0
2025-12-15 01:40:55.044,SCALED_IMU2,4021037,SCALED_IMU2,4808,0,3,0,12,-1,0,-1018,-1,0
2025-12-15 01:40:55.145,SCALED_IMU2,4021139,SCALED_IMU2,4808,-1,3,0,10,-1,0,-1019,-2,0
2025-12-15 01:40:55.245,SCALED_IMU2,4021239,SCALED_IMU2,4809,0,2,0,12,-1,0,-1019,-1,0
2025-12-15 01:40:55.345,SCALED_IMU2,4021339,SCALED_IMU2,4808,0,2,0,12,-1,0,-1020,-2,0
2025-12-15 01:40:55.445,SCALED_IMU2,4021439,SCALED_IMU2,4808,1,2,0,13,-2,0,-1017,-2,0
2025-12-15 01:40:55.545,SCALED_IMU2,4021539,SCALED_IMU2,4808,1,2,0,11,0,0,-1021,-2,0
2025-12-15 01:40:55.645,SCALED_IMU2,4021639,SCALED_IMU2,4808,1,4,0,11,-2,0,-1020,-2,0
2025-12-15 01:40:55.745,SCALED_IMU2,4021739,SCALED_IMU2,4808,2,3,0,12,-1,0,-1020,-1,0
2025-12-15 01:40:55.845,SCALED_IMU2,4021839,SCALED_IMU2,4808,1,3,0,11,0,0,-1020,-2,0
2025-12-15 01:40:55.945,SCALED_IMU2,4021939,SCALED_IMU2,4808,0,3,0,12,-2,0,-1019,-2,0
2025-12-15 01:40:56.045,SCALED_IMU2,4022039,SCALED_IMU2,4808,2,2,0,11,-1,0,-1018,-2,0
2025-12-15 01:40:56.144,SCALED_IMU2,4022137,SCALED_IMU2,4808,1,3,0,11,-1,0,-1020,-1,0
2025-12-15 01:40:56.244,SCALED_IMU2,4022237,SCALED_IMU2,4807,2,2,0,13,-1,0,-1020,-1,0
2025-12-15 01:40:56.345,SCALED_IMU2,4022339,SCALED_IMU2,4807,2,3,0,10,-2,0,-1020,-3,0
2025-12-15 01:40:56.445,SCALED_IMU2,4022439,SCALED_IMU2,4807,1,2,0,11,-1,0,-1019,-2,0
2025-12-15 01:40:56.544,SCALED_IMU2,4022537,SCALED_IMU2,4807,2,2,0,12,-1,0,-1021,-2,0
2025-12-15 01:40:56.644,SCALED_IMU2,4022637,SCALED_IMU2,4807,3,2,0,12,-1,0,-1021,-2,0
2025-12-15 01:40:56.745,SCALED_IMU2,4022739,SCALED_IMU2,4807,2,2,0,12,-1,0,-1021,-2,0
2025-12-15 01:40:56.846,SCALED_IMU2,4022839,SCALED_IMU2,4808,-1,0,0,11,-1,0,-1020,-2,0
2025-12-15 01:40:56.945,SCALED_IMU2,4022939,SCALED_IMU2,4808,0,4,0,13,-2,0,-1019,-2,0
2025-12-15 01:40:57.046,SCALED_IMU2,4023039,SCALED_IMU2,4808,2,3,0,11,0,0,-1019,-3,0
2025-12-15 01:40:57.145,SCALED_IMU2,4023139,SCALED_IMU2,4808,0,2,0,12,-1,0,-1020,-3,0
2025-12-15 01:40:57.245,SCALED_IMU2,4023239,SCALED_IMU2,4808,0,2,0,12,-1,0,-1020,-2,0
2025-12-15 01:40:57.345,SCALED_IMU2,4023339,SCALED_IMU2,4808,2,3,0,12,-2,0,-1020,-2,0
2025-12-15 01:40:57.445,SCALED_IMU2,4023439,SCALED_IMU2,4808,2,2,0,14,1,0,-1017,-1,0
2025-12-15 01:40:57.545,SCALED_IMU2,4023539,SCALED_IMU2,4808,2,2,0,11,0,0,-1019,-1,0
2025-12-15 01:40:57.646,SCALED_IMU2,4023639,SCALED_IMU2,4808,1,3,0,12,-1,0,-1019,-1,0
2025-12-15 01:40:57.744,SCALED_IMU2,4023737,SCALED_IMU2,4808,2,1,0,12,-1,0,-1017,-2,0
2025-12-15 01:40:57.845,SCALED_IMU2,4023837,SCALED_IMU2,4808,1,2,0,12,-1,0,-1019,-2,0
2025-12-15 01:40:57.945,SCALED_IMU2,4023939,SCALED_IMU2,4808,1,3,0,13,-2,0,-1019,-2,0
2025-12-15 01:40:58.045,SCALED_IMU2,4024037,SCALED_IMU2,4808,0,3,0,12,-1,0,-1019,-2,0
2025-12-15 01:40:58.145,SCALED_IMU2,4024137,SCALED_IMU2,4808,0,2,0,12,-1,0,-1019,-1,0
2025-12-15 01:40:58.246,SCALED_IMU2,4024239,SCALED_IMU2,4808,2,3,0,11,-3,0,-1020,-2,0
2025-12-15 01:40:58.346,SCALED_IMU2,4024339,SCALED_IMU2,4808,3,1,0,12,-2,0,-1020,-2,0
2025-12-15 01:40:58.445,SCALED_IMU2,4024439,SCALED_IMU2,4808,0,2,0,11,0,0,-1018,-2,0
2025-12-15 01:40:58.546,SCALED_IMU2,4024539,SCALED_IMU2,4808,0,2,0,12,0,0,-1018,-3,0
2025-12-15 01:40:58.648,SCALED_IMU2,4024639,SCALED_IMU2,4808,2,3,0,13,-2,0,-1020,-2,0
2025-12-15 01:40:58.748,SCALED_IMU2,4024739,SCALED_IMU2,4808,1,3,0,12,-1,0,-1020,-2,0
2025-12-15 01:40:58.848,SCALED_IMU2,4024839,SCALED_IMU2,4808,1,2,0,12,-3,0,-1019,-2,0
2025-12-15 01:40:58.948,SCALED_IMU2,4024939,SCALED_IMU2,4808,0,2,0,11,-1,0,-1020,-1,0
2025-12-15 01:40:59.048,SCALED_IMU2,4025039,SCALED_IMU2,4808,0,2,0,13,-1,0,-1020,-2,0
2025-12-15 01:40:59.148,SCALED_IMU2,4025139,SCALED_IMU2,4809,0,3,0,13,0,0,-1019,-1,0
2025-12-15 01:40:59.248,SCALED_IMU2,4025237,SCALED_IMU2,4808,0,2,0,12,-1,0,-1020,-3,0
2025-12-15 01:40:59.348,SCALED_IMU2,4025337,SCALED_IMU2,4809,2,3,0,13,-1,0,-1020,-2,0
2025-12-15 01:40:59.448,SCALED_IMU2,4025439,SCALED_IMU2,4808,3,3,0,13,-1,0,-1021,-2,0
2025-12-15 01:40:59.548,SCALED_IMU2,4025537,SCALED_IMU2,4808,1,2,0,12,-1,0,-1020,-3,0
2025-12-15 01:40:59.648,SCALED_IMU2,4025637,SCALED_IMU2,4808,1,2,0,12,-2,0,-1019,-1,0
2025-12-15 01:40:59.748,SCALED_IMU2,4025737,SCALED_IMU2,4808,2,3,0,13,-1,0,-1019,-2,0
2025-12-15 01:40:59.848,SCALED_IMU2,4025839,SCALED_IMU2,4808,1,2,0,13,-1,0,-1019,-2,0
2025-12-15 01:40:59.948,SCALED_IMU2,4025939,SCALED_IMU2,4808,1,1,0,11,0,0,-1020,-1,0
2025-12-15 01:41:00.048,SCALED_IMU2,4026039,SCALED_IMU2,4808,0,2,0,12,-2,0,-1020,-2,0
2025-12-15 01:41:00.148,SCALED_IMU2,4026139,SCALED_IMU2,4808,1,3,0,11,-2,0,-1018,-2,0
2025-12-15 01:41:00.248,SCALED_IMU2,4026239,SCALED_IMU2,4808,0,2,0,10,0,0,-1019,-2,0
