SystemTime_ISO,MsgType,FC_Time_us,autopilot,base_mode,custom_mode,mavlink_version,mavpackettype,system_status,type
2026-01-12 14:55:37.398,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:38.398,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:39.398,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:40.398,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:41.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:42.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:43.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:44.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:45.398,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:46.398,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:47.398,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:48.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:49.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:50.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:51.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:52.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:53.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:54.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:55.398,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:56.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:57.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:58.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:55:59.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:56:00.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:56:01.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:56:02.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:56:03.400,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:56:04.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:56:05.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:56:06.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:56:07.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2026-01-12 14:56:08.399,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
