SystemTime_ISO,MsgType,FC_Time_us,I2Cerr,Vcc,mavpackettype
2026-01-12 14:55:36.536,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:36.547,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:36.562,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:36.583,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:36.603,HWSTATUS,0,0,5256,HWSTATUS
2026-01-12 14:55:36.622,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:36.642,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:36.663,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:36.683,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:36.702,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:36.722,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:36.742,HWSTATUS,0,0,5264,HWSTATUS
2026-01-12 14:55:36.762,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:36.783,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:36.802,HWSTATUS,0,0,5256,HWSTATUS
2026-01-12 14:55:36.822,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:36.842,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:36.863,HWSTATUS,0,0,5264,HWSTATUS
2026-01-12 14:55:36.883,HWSTATUS,0,0,5264,HWSTATUS
2026-01-12 14:55:36.902,HWSTATUS,0,0,5256,HWSTATUS
2026-01-12 14:55:36.922,HWSTATUS,0,0,5253,HWSTATUS
2026-01-12 14:55:36.943,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:36.963,HWSTATUS,0,0,5262,HWSTATUS
2026-01-12 14:55:36.983,HWSTATUS,0,0,5262,HWSTATUS
2026-01-12 14:55:37.003,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:37.022,HWSTATUS,0,0,5265,HWSTATUS
2026-01-12 14:55:37.042,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:37.063,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:37.083,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:37.103,HWSTATUS,0,0,5268,HWSTATUS
2026-01-12 14:55:37.122,HWSTATUS,0,0,5266,HWSTATUS
2026-01-12 14:55:37.142,HWSTATUS,0,0,5264,HWSTATUS
2026-01-12 14:55:37.162,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:37.183,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:37.203,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:37.222,HWSTATUS,0,0,5262,HWSTATUS
2026-01-12 14:55:37.242,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:37.262,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:37.283,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:37.302,HWSTATUS,0,0,5262,HWSTATUS
2026-01-12 14:55:37.323,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:37.342,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:37.362,HWSTATUS,0,0,5255,HWSTATUS
2026-01-12 14:55:37.383,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:37.404,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:37.423,HWSTATUS,0,0,5255,HWSTATUS
2026-01-12 14:55:37.443,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:37.462,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:37.483,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:37.502,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:37.523,HWSTATUS,0,0,5252,HWSTATUS
2026-01-12 14:55:37.542,HWSTATUS,0,0,5266,HWSTATUS
2026-01-12 14:55:37.562,HWSTATUS,0,0,5254,HWSTATUS
2026-01-12 14:55:37.583,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:37.602,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:37.623,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:37.642,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:37.662,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:37.683,HWSTATUS,0,0,5265,HWSTATUS
2026-01-12 14:55:37.702,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:37.723,HWSTATUS,0,0,5266,HWSTATUS
2026-01-12 14:55:37.742,HWSTATUS,0,0,5255,HWSTATUS
2026-01-12 14:55:37.762,HWSTATUS,0,0,5249,HWSTATUS
2026-01-12 14:55:37.783,HWSTATUS,0,0,5265,HWSTATUS
2026-01-12 14:55:37.802,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:37.822,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:37.842,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:37.863,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:37.883,HWSTATUS,0,0,5255,HWSTATUS
2026-01-12 14:55:37.902,HWSTATUS,0,0,5264,HWSTATUS
2026-01-12 14:55:37.923,HWSTATUS,0,0,5254,HWSTATUS
2026-01-12 14:55:37.942,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:37.962,HWSTATUS,0,0,5266,HWSTATUS
2026-01-12 14:55:37.983,HWSTATUS,0,0,5254,HWSTATUS
2026-01-12 14:55:38.002,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:38.022,HWSTATUS,0,0,5269,HWSTATUS
2026-01-12 14:55:38.042,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:38.062,HWSTATUS,0,0,5256,HWSTATUS
2026-01-12 14:55:38.083,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:38.102,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:38.122,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:38.142,HWSTATUS,0,0,5256,HWSTATUS
2026-01-12 14:55:38.162,HWSTATUS,0,0,5265,HWSTATUS
2026-01-12 14:55:38.183,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:38.202,HWSTATUS,0,0,5262,HWSTATUS
2026-01-12 14:55:38.222,HWSTATUS,0,0,5256,HWSTATUS
2026-01-12 14:55:38.242,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:38.262,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:38.283,HWSTATUS,0,0,5267,HWSTATUS
2026-01-12 14:55:38.302,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:38.322,HWSTATUS,0,0,5262,HWSTATUS
2026-01-12 14:55:38.342,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:38.363,HWSTATUS,0,0,5262,HWSTATUS
2026-01-12 14:55:38.383,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:38.402,HWSTATUS,0,0,5264,HWSTATUS
2026-01-12 14:55:38.422,HWSTATUS,0,0,5253,HWSTATUS
2026-01-12 14:55:38.443,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:38.463,HWSTATUS,0,0,5251,HWSTATUS
2026-01-12 14:55:38.482,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:38.502,HWSTATUS,0,0,5262,HWSTATUS
2026-01-12 14:55:38.522,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:38.543,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:38.563,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:38.582,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:38.602,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:38.622,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:38.643,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:38.663,HWSTATUS,0,0,5265,HWSTATUS
2026-01-12 14:55:38.683,HWSTATUS,0,0,5255,HWSTATUS
2026-01-12 14:55:38.702,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:38.722,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:38.743,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:38.762,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:38.783,HWSTATUS,0,0,5262,HWSTATUS
2026-01-12 14:55:38.802,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:38.823,HWSTATUS,0,0,5256,HWSTATUS
2026-01-12 14:55:38.843,HWSTATUS,0,0,5253,HWSTATUS
2026-01-12 14:55:38.862,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:38.883,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:38.903,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:38.923,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:38.942,HWSTATUS,0,0,5256,HWSTATUS
2026-01-12 14:55:38.962,HWSTATUS,0,0,5264,HWSTATUS
2026-01-12 14:55:38.982,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:39.002,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:39.023,HWSTATUS,0,0,5264,HWSTATUS
2026-01-12 14:55:39.042,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:39.062,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:39.082,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:39.102,HWSTATUS,0,0,5252,HWSTATUS
2026-01-12 14:55:39.123,HWSTATUS,0,0,5255,HWSTATUS
2026-01-12 14:55:39.142,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:39.162,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:39.183,HWSTATUS,0,0,5267,HWSTATUS
2026-01-12 14:55:39.202,HWSTATUS,0,0,5256,HWSTATUS
2026-01-12 14:55:39.223,HWSTATUS,0,0,5255,HWSTATUS
2026-01-12 14:55:39.242,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:39.262,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:39.282,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:39.302,HWSTATUS,0,0,5266,HWSTATUS
2026-01-12 14:55:39.323,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:39.342,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:39.362,HWSTATUS,0,0,5266,HWSTATUS
2026-01-12 14:55:39.383,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:39.403,HWSTATUS,0,0,5254,HWSTATUS
2026-01-12 14:55:39.423,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:39.442,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:39.462,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:39.482,HWSTATUS,0,0,5262,HWSTATUS
2026-01-12 14:55:39.502,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:39.522,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:39.542,HWSTATUS,0,0,5259,HWSTATUS
2026-01-12 14:55:39.562,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:39.582,HWSTATUS,0,0,5264,HWSTATUS
2026-01-12 14:55:39.602,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:39.624,HWSTATUS,0,0,5256,HWSTATUS
2026-01-12 14:55:39.643,HWSTATUS,0,0,5256,HWSTATUS
2026-01-12 14:55:39.663,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:39.683,HWSTATUS,0,0,5254,HWSTATUS
2026-01-12 14:55:39.703,HWSTATUS,0,0,5251,HWSTATUS
2026-01-12 14:55:39.723,HWSTATUS,0,0,5257,HWSTATUS
2026-01-12 14:55:39.743,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:39.763,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:39.783,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:39.803,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:39.823,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:39.843,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:39.863,HWSTATUS,0,0,5256,HWSTATUS
2026-01-12 14:55:39.883,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:39.903,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:39.923,HWSTATUS,0,0,5255,HWSTATUS
2026-01-12 14:55:39.943,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:39.963,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:39.983,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:40.003,HWSTATUS,0,0,5254,HWSTATUS
2026-01-12 14:55:40.023,HWSTATUS,0,0,5260,HWSTATUS
2026-01-12 14:55:40.043,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:40.063,HWSTATUS,0,0,5263,HWSTATUS
2026-01-12 14:55:40.083,HWSTATUS,0,0,5261,HWSTATUS
2026-01-12 14:55:40.103,HWSTATUS,0,0,5264,HWSTATUS
2026-01-12 14:55:40.123,HWSTATUS,0,0,5258,HWSTATUS
2026-01-12 14:55:40.143,HWSTATUS,0,0,5260,HWSTATUS
