SystemTime_ISO,MsgType,FC_Time_us,id,mavpackettype,temperature,xacc,xgyro,xmag,yacc,ygyro,ymag,zacc,zgyro,zmag
2026-01-12 14:55:36.517,RAW_IMU,1184566577,0,RAW_IMU,4577,0,0,-145,6,-3,56,-993,0,401
2026-01-12 14:55:36.529,RAW_IMU,1184586499,0,RAW_IMU,4528,0,0,-145,6,-4,56,-993,0,401
2026-01-12 14:55:36.545,RAW_IMU,1184606425,0,RAW_IMU,4528,0,0,-145,6,-3,56,-993,0,401
2026-01-12 14:55:36.560,RAW_IMU,1184626660,0,RAW_IMU,4528,0,0,-145,7,-3,56,-993,0,401
2026-01-12 14:55:36.581,RAW_IMU,1184646710,0,RAW_IMU,4528,0,0,-134,7,-3,39,-993,0,392
2026-01-12 14:55:36.601,RAW_IMU,1184668736,0,RAW_IMU,4528,0,0,-134,7,-4,39,-992,0,392
2026-01-12 14:55:36.620,RAW_IMU,1184686487,0,RAW_IMU,4528,0,0,-134,6,-3,39,-992,0,392
2026-01-12 14:55:36.640,RAW_IMU,1184706414,0,RAW_IMU,4528,0,0,-134,6,-3,39,-993,0,392
2026-01-12 14:55:36.661,RAW_IMU,1184726751,0,RAW_IMU,4528,0,0,-134,6,-4,39,-993,0,392
2026-01-12 14:55:36.681,RAW_IMU,1184746700,0,RAW_IMU,4528,0,0,-141,7,-4,28,-993,0,379
2026-01-12 14:55:36.700,RAW_IMU,1184766630,0,RAW_IMU,4528,1,0,-141,7,-3,28,-992,0,379
2026-01-12 14:55:36.720,RAW_IMU,1184786431,0,RAW_IMU,4577,0,0,-141,7,-3,28,-991,0,379
2026-01-12 14:55:36.740,RAW_IMU,1184806449,0,RAW_IMU,4528,0,0,-141,7,-2,28,-992,0,379
2026-01-12 14:55:36.760,RAW_IMU,1184826677,0,RAW_IMU,4528,0,0,-141,6,-3,28,-993,0,379
2026-01-12 14:55:36.781,RAW_IMU,1184846696,0,RAW_IMU,4528,0,0,-135,6,-3,40,-993,0,382
2026-01-12 14:55:36.800,RAW_IMU,1184866635,0,RAW_IMU,4528,0,0,-135,7,-3,40,-993,0,382
2026-01-12 14:55:36.820,RAW_IMU,1184886461,0,RAW_IMU,4528,1,0,-135,8,-4,40,-993,0,382
2026-01-12 14:55:36.840,RAW_IMU,1184906525,0,RAW_IMU,4528,0,0,-135,8,-4,40,-993,0,382
2026-01-12 14:55:36.860,RAW_IMU,1184926705,0,RAW_IMU,4528,0,0,-135,7,-3,40,-992,0,382
2026-01-12 14:55:36.881,RAW_IMU,1184946640,0,RAW_IMU,4528,0,0,-139,6,-3,42,-992,0,388
2026-01-12 14:55:36.900,RAW_IMU,1184966667,0,RAW_IMU,4528,0,0,-139,6,-3,42,-993,0,388
2026-01-12 14:55:36.920,RAW_IMU,1184986405,0,RAW_IMU,4528,0,0,-139,7,-4,42,-994,0,388
2026-01-12 14:55:36.940,RAW_IMU,1185006488,0,RAW_IMU,4577,0,0,-139,7,-3,42,-993,0,388
2026-01-12 14:55:36.960,RAW_IMU,1185026693,0,RAW_IMU,4528,1,0,-139,7,-4,42,-992,0,388
2026-01-12 14:55:36.981,RAW_IMU,1185046632,0,RAW_IMU,4528,0,0,-145,7,-3,48,-992,0,393
2026-01-12 14:55:37.001,RAW_IMU,1185068600,0,RAW_IMU,4528,1,0,-145,7,-3,48,-992,0,393
2026-01-12 14:55:37.020,RAW_IMU,1185086430,0,RAW_IMU,4528,0,0,-145,6,-3,48,-993,0,393
2026-01-12 14:55:37.040,RAW_IMU,1185106484,0,RAW_IMU,4528,0,0,-145,6,-3,48,-993,0,393
2026-01-12 14:55:37.060,RAW_IMU,1185126727,0,RAW_IMU,4528,1,0,-145,7,-4,48,-993,0,393
2026-01-12 14:55:37.081,RAW_IMU,1185146689,0,RAW_IMU,4528,0,0,-139,7,-4,43,-992,0,371
2026-01-12 14:55:37.100,RAW_IMU,1185166653,0,RAW_IMU,4528,0,0,-139,7,-4,43,-992,0,371
2026-01-12 14:55:37.120,RAW_IMU,1185186435,0,RAW_IMU,4528,0,0,-139,7,-3,43,-993,0,371
2026-01-12 14:55:37.140,RAW_IMU,1185206442,0,RAW_IMU,4528,0,0,-139,6,-3,43,-993,0,371
2026-01-12 14:55:37.160,RAW_IMU,1185226667,0,RAW_IMU,4528,0,0,-139,6,-4,43,-993,0,371
2026-01-12 14:55:37.181,RAW_IMU,1185246723,0,RAW_IMU,4528,0,0,-142,7,-4,26,-993,0,387
2026-01-12 14:55:37.201,RAW_IMU,1185268664,0,RAW_IMU,4528,0,0,-142,7,-3,26,-993,0,387
2026-01-12 14:55:37.220,RAW_IMU,1185286421,0,RAW_IMU,4577,1,0,-142,8,-3,26,-992,0,387
2026-01-12 14:55:37.240,RAW_IMU,1185306477,0,RAW_IMU,4528,0,0,-142,6,-3,26,-992,0,387
2026-01-12 14:55:37.260,RAW_IMU,1185326656,0,RAW_IMU,4528,0,0,-142,6,-3,26,-993,0,387
2026-01-12 14:55:37.281,RAW_IMU,1185346674,0,RAW_IMU,4528,0,0,-137,6,-4,35,-993,0,393
2026-01-12 14:55:37.300,RAW_IMU,1185366673,0,RAW_IMU,4528,0,0,-137,6,-4,35,-994,0,393
2026-01-12 14:55:37.321,RAW_IMU,1185389278,0,RAW_IMU,4528,0,1,-137,6,-3,35,-992,0,393
2026-01-12 14:55:37.340,RAW_IMU,1185406489,0,RAW_IMU,4528,0,0,-137,7,-3,35,-992,0,393
2026-01-12 14:55:37.360,RAW_IMU,1185426664,0,RAW_IMU,4528,1,0,-137,7,-4,35,-992,0,393
2026-01-12 14:55:37.381,RAW_IMU,1185446770,0,RAW_IMU,4528,0,0,-128,6,-3,25,-992,0,369
2026-01-12 14:55:37.402,RAW_IMU,1185466629,0,RAW_IMU,4528,0,0,-128,6,-3,25,-992,0,369
2026-01-12 14:55:37.421,RAW_IMU,1185489278,0,RAW_IMU,4528,0,0,-128,7,-3,25,-991,0,369
2026-01-12 14:55:37.440,RAW_IMU,1185506537,0,RAW_IMU,4528,0,0,-128,7,-4,25,-992,0,369
2026-01-12 14:55:37.460,RAW_IMU,1185526596,0,RAW_IMU,4528,1,0,-128,7,-3,25,-992,0,369
