SystemTime_ISO,MsgType,FC_Time_us,mavpackettype,temperature,xacc,xgyro,xmag,yacc,ygyro,ymag,zacc,zgyro,zmag
2026-01-12 14:55:36.495,SCALED_IMU,1184486,SCALED_IMU,4528,1,0,-140,7,-4,46,-993,0,400
2026-01-12 14:55:36.499,SCALED_IMU,1184506,SCALED_IMU,4528,1,0,-140,7,-4,46,-993,0,400
2026-01-12 14:55:36.500,SCALED_IMU,1184526,SCALED_IMU,4528,0,0,-140,7,-4,46,-992,0,400
2026-01-12 14:55:36.501,SCALED_IMU,1184546,SCALED_IMU,4528,0,0,-145,7,-3,56,-992,0,401
2026-01-12 14:55:36.519,SCALED_IMU,1184566,SCALED_IMU,4577,0,0,-145,6,-3,56,-993,0,401
2026-01-12 14:55:36.529,SCALED_IMU,1184586,SCALED_IMU,4528,0,0,-145,6,-4,56,-993,0,401
2026-01-12 14:55:36.546,SCALED_IMU,1184606,SCALED_IMU,4528,0,0,-145,6,-3,56,-993,0,401
2026-01-12 14:55:36.560,SCALED_IMU,1184626,SCALED_IMU,4528,0,0,-145,7,-3,56,-993,0,401
2026-01-12 14:55:36.581,SCALED_IMU,1184648,SCALED_IMU,4528,0,0,-134,7,-4,39,-993,0,392
2026-01-12 14:55:36.601,SCALED_IMU,1184668,SCALED_IMU,4528,0,0,-134,7,-4,39,-992,0,392
2026-01-12 14:55:36.620,SCALED_IMU,1184686,SCALED_IMU,4528,0,0,-134,6,-3,39,-992,0,392
2026-01-12 14:55:36.640,SCALED_IMU,1184706,SCALED_IMU,4528,0,0,-134,6,-3,39,-993,0,392
2026-01-12 14:55:36.661,SCALED_IMU,1184728,SCALED_IMU,4577,0,0,-134,6,-3,39,-992,0,392
2026-01-12 14:55:36.681,SCALED_IMU,1184746,SCALED_IMU,4528,0,0,-141,7,-4,28,-993,0,379
2026-01-12 14:55:36.700,SCALED_IMU,1184766,SCALED_IMU,4528,1,0,-141,7,-3,28,-992,0,379
2026-01-12 14:55:36.720,SCALED_IMU,1184786,SCALED_IMU,4577,0,0,-141,7,-3,28,-991,0,379
2026-01-12 14:55:36.740,SCALED_IMU,1184806,SCALED_IMU,4528,0,0,-141,7,-2,28,-992,0,379
2026-01-12 14:55:36.760,SCALED_IMU,1184826,SCALED_IMU,4528,0,0,-141,6,-3,28,-993,0,379
2026-01-12 14:55:36.781,SCALED_IMU,1184846,SCALED_IMU,4528,0,0,-135,6,-3,40,-993,0,382
2026-01-12 14:55:36.800,SCALED_IMU,1184866,SCALED_IMU,4528,0,0,-135,7,-3,40,-993,0,382
2026-01-12 14:55:36.820,SCALED_IMU,1184886,SCALED_IMU,4528,1,0,-135,8,-4,40,-993,0,382
2026-01-12 14:55:36.840,SCALED_IMU,1184906,SCALED_IMU,4528,0,0,-135,8,-4,40,-993,0,382
2026-01-12 14:55:36.861,SCALED_IMU,1184928,SCALED_IMU,4528,0,0,-135,8,-3,40,-992,0,382
2026-01-12 14:55:36.881,SCALED_IMU,1184946,SCALED_IMU,4528,0,0,-139,6,-3,42,-992,0,388
2026-01-12 14:55:36.900,SCALED_IMU,1184966,SCALED_IMU,4528,0,0,-139,6,-3,42,-993,0,388
2026-01-12 14:55:36.920,SCALED_IMU,1184986,SCALED_IMU,4528,0,0,-139,7,-4,42,-994,0,388
2026-01-12 14:55:36.941,SCALED_IMU,1185008,SCALED_IMU,4528,0,0,-139,6,-3,42,-993,0,388
2026-01-12 14:55:36.961,SCALED_IMU,1185028,SCALED_IMU,4528,0,0,-139,7,-4,42,-993,0,388
2026-01-12 14:55:36.981,SCALED_IMU,1185046,SCALED_IMU,4528,0,0,-145,7,-3,48,-992,0,393
2026-01-12 14:55:37.001,SCALED_IMU,1185068,SCALED_IMU,4528,1,0,-145,7,-3,48,-992,0,393
2026-01-12 14:55:37.020,SCALED_IMU,1185086,SCALED_IMU,4528,0,0,-145,6,-3,48,-993,0,393
2026-01-12 14:55:37.040,SCALED_IMU,1185106,SCALED_IMU,4528,0,0,-145,6,-3,48,-993,0,393
2026-01-12 14:55:37.061,SCALED_IMU,1185128,SCALED_IMU,4528,0,0,-145,6,-4,48,-993,0,393
2026-01-12 14:55:37.081,SCALED_IMU,1185146,SCALED_IMU,4528,0,0,-139,7,-4,43,-992,0,371
2026-01-12 14:55:37.101,SCALED_IMU,1185168,SCALED_IMU,4528,0,0,-139,7,-4,43,-992,0,371
2026-01-12 14:55:37.120,SCALED_IMU,1185186,SCALED_IMU,4528,0,0,-139,7,-3,43,-993,0,371
2026-01-12 14:55:37.140,SCALED_IMU,1185206,SCALED_IMU,4528,0,0,-139,6,-3,43,-993,0,371
2026-01-12 14:55:37.160,SCALED_IMU,1185226,SCALED_IMU,4528,0,0,-139,6,-4,43,-993,0,371
2026-01-12 14:55:37.181,SCALED_IMU,1185246,SCALED_IMU,4528,0,0,-142,7,-4,26,-993,0,387
2026-01-12 14:55:37.201,SCALED_IMU,1185268,SCALED_IMU,4528,0,0,-142,7,-3,26,-993,0,387
2026-01-12 14:55:37.220,SCALED_IMU,1185286,SCALED_IMU,4577,1,0,-142,8,-3,26,-992,0,387
2026-01-12 14:55:37.240,SCALED_IMU,1185306,SCALED_IMU,4528,0,0,-142,6,-3,26,-992,0,387
2026-01-12 14:55:37.260,SCALED_IMU,1185326,SCALED_IMU,4528,0,0,-142,6,-3,26,-993,0,387
2026-01-12 14:55:37.281,SCALED_IMU,1185346,SCALED_IMU,4528,0,0,-137,6,-4,35,-993,0,393
2026-01-12 14:55:37.300,SCALED_IMU,1185366,SCALED_IMU,4528,0,0,-137,6,-4,35,-994,0,393
2026-01-12 14:55:37.321,SCALED_IMU,1185389,SCALED_IMU,4528,0,1,-137,6,-3,35,-992,0,393
2026-01-12 14:55:37.340,SCALED_IMU,1185406,SCALED_IMU,4528,0,0,-137,7,-3,35,-992,0,393
2026-01-12 14:55:37.360,SCALED_IMU,1185426,SCALED_IMU,4528,1,0,-137,7,-4,35,-992,0,393
2026-01-12 14:55:37.381,SCALED_IMU,1185446,SCALED_IMU,4528,0,0,-128,6,-3,25,-992,0,369
2026-01-12 14:55:37.402,SCALED_IMU,1185466,SCALED_IMU,4528,0,0,-128,6,-3,25,-992,0,369
2026-01-12 14:55:37.421,SCALED_IMU,1185489,SCALED_IMU,4528,0,0,-128,7,-3,25,-991,0,369
2026-01-12 14:55:37.441,SCALED_IMU,1185508,SCALED_IMU,4528,0,0,-128,7,-3,25,-992,0,369
2026-01-12 14:55:37.460,SCALED_IMU,1185526,SCALED_IMU,4528,1,0,-128,7,-3,25,-992,0,369
2026-01-12 14:55:37.481,SCALED_IMU,1185546,SCALED_IMU,4528,0,0,-126,7,-4,58,-992,0,393
2026-01-12 14:55:37.500,SCALED_IMU,1185566,SCALED_IMU,4528,0,0,-126,6,-3,58,-992,0,393
2026-01-12 14:55:37.521,SCALED_IMU,1185589,SCALED_IMU,4577,1,0,-126,7,-4,58,-992,0,393
2026-01-12 14:55:37.540,SCALED_IMU,1185606,SCALED_IMU,4528,0,0,-126,6,-3,58,-994,0,393
2026-01-12 14:55:37.560,SCALED_IMU,1185626,SCALED_IMU,4528,0,0,-126,7,-4,58,-993,0,393
2026-01-12 14:55:37.581,SCALED_IMU,1185646,SCALED_IMU,4577,0,0,-135,7,-4,33,-993,0,389
2026-01-12 14:55:37.600,SCALED_IMU,1185666,SCALED_IMU,4528,0,0,-135,7,-3,33,-993,0,389
2026-01-12 14:55:37.621,SCALED_IMU,1185689,SCALED_IMU,4528,0,0,-135,7,-3,33,-992,0,389
2026-01-12 14:55:37.640,SCALED_IMU,1185706,SCALED_IMU,4528,0,0,-135,6,-4,33,-992,0,389
2026-01-12 14:55:37.660,SCALED_IMU,1185726,SCALED_IMU,4528,0,0,-135,6,-3,33,-993,0,389
2026-01-12 14:55:37.681,SCALED_IMU,1185746,SCALED_IMU,4528,0,0,-130,6,-3,43,-993,0,397
2026-01-12 14:55:37.700,SCALED_IMU,1185766,SCALED_IMU,4528,0,1,-130,7,-4,43,-993,0,397
2026-01-12 14:55:37.721,SCALED_IMU,1185789,SCALED_IMU,4528,0,0,-130,6,-4,43,-993,0,397
2026-01-12 14:55:37.740,SCALED_IMU,1185806,SCALED_IMU,4528,0,0,-130,7,-3,43,-992,0,397
2026-01-12 14:55:37.760,SCALED_IMU,1185826,SCALED_IMU,4528,0,0,-130,6,-3,43,-992,0,397
2026-01-12 14:55:37.781,SCALED_IMU,1185846,SCALED_IMU,4528,0,0,-134,6,-3,36,-992,0,371
