SystemTime_ISO,MsgType,FC_Time_us,mavpackettype,temperature,xacc,xgyro,xmag,yacc,ygyro,ymag,zacc,zgyro,zmag
2026-01-12 14:55:36.497,SCALED_IMU2,1184486,SCALED_IMU2,4848,-1,5,0,8,-2,0,-1032,-6,0
2026-01-12 14:55:36.500,SCALED_IMU2,1184506,SCALED_IMU2,4848,0,6,0,9,-1,0,-1032,-6,0
2026-01-12 14:55:36.500,SCALED_IMU2,1184526,SCALED_IMU2,4848,0,8,0,10,-3,0,-1033,-4,0
2026-01-12 14:55:36.501,SCALED_IMU2,1184546,SCALED_IMU2,4848,0,5,0,9,-3,0,-1032,-5,0
2026-01-12 14:55:36.519,SCALED_IMU2,1184566,SCALED_IMU2,4848,0,6,0,9,-1,0,-1033,-5,0
2026-01-12 14:55:36.529,SCALED_IMU2,1184586,SCALED_IMU2,4847,-2,7,0,7,-1,0,-1034,-5,0
2026-01-12 14:55:36.546,SCALED_IMU2,1184606,SCALED_IMU2,4847,-1,6,0,9,-2,0,-1034,-4,0
2026-01-12 14:55:36.560,SCALED_IMU2,1184626,SCALED_IMU2,4847,-1,6,0,10,-2,0,-1033,-4,0
2026-01-12 14:55:36.581,SCALED_IMU2,1184648,SCALED_IMU2,4847,0,5,0,7,-1,0,-1034,-4,0
2026-01-12 14:55:36.601,SCALED_IMU2,1184668,SCALED_IMU2,4847,0,6,0,7,-3,0,-1032,-4,0
2026-01-12 14:55:36.620,SCALED_IMU2,1184686,SCALED_IMU2,4847,-1,5,0,9,-1,0,-1031,-6,0
2026-01-12 14:55:36.640,SCALED_IMU2,1184706,SCALED_IMU2,4847,-1,5,0,7,-1,0,-1032,-5,0
2026-01-12 14:55:36.661,SCALED_IMU2,1184728,SCALED_IMU2,4847,0,6,0,8,-1,0,-1032,-5,0
2026-01-12 14:55:36.681,SCALED_IMU2,1184748,SCALED_IMU2,4848,0,5,0,7,-2,0,-1033,-6,0
2026-01-12 14:55:36.700,SCALED_IMU2,1184766,SCALED_IMU2,4848,0,5,0,8,-2,0,-1032,-6,0
2026-01-12 14:55:36.720,SCALED_IMU2,1184786,SCALED_IMU2,4848,0,6,0,9,-2,0,-1030,-6,0
2026-01-12 14:55:36.741,SCALED_IMU2,1184808,SCALED_IMU2,4848,0,5,0,9,-3,0,-1032,-5,0
2026-01-12 14:55:36.761,SCALED_IMU2,1184828,SCALED_IMU2,4848,1,7,0,10,-2,0,-1031,-5,0
2026-01-12 14:55:36.781,SCALED_IMU2,1184846,SCALED_IMU2,4848,-1,5,0,9,-1,0,-1030,-5,0
2026-01-12 14:55:36.800,SCALED_IMU2,1184866,SCALED_IMU2,4848,0,4,0,9,-2,0,-1033,-5,0
2026-01-12 14:55:36.820,SCALED_IMU2,1184886,SCALED_IMU2,4848,1,5,0,10,-2,0,-1032,-4,0
2026-01-12 14:55:36.840,SCALED_IMU2,1184906,SCALED_IMU2,4848,0,6,0,10,-1,0,-1032,-5,0
2026-01-12 14:55:36.861,SCALED_IMU2,1184928,SCALED_IMU2,4848,-1,5,0,12,-3,0,-1031,-5,0
2026-01-12 14:55:36.881,SCALED_IMU2,1184946,SCALED_IMU2,4848,-1,5,0,10,-1,0,-1032,-4,0
2026-01-12 14:55:36.900,SCALED_IMU2,1184966,SCALED_IMU2,4848,-3,6,0,9,-1,0,-1032,-4,0
2026-01-12 14:55:36.920,SCALED_IMU2,1184986,SCALED_IMU2,4848,-2,7,0,9,-3,0,-1032,-6,0
2026-01-12 14:55:36.941,SCALED_IMU2,1185008,SCALED_IMU2,4848,0,6,0,9,-2,0,-1030,-4,0
2026-01-12 14:55:36.961,SCALED_IMU2,1185028,SCALED_IMU2,4848,-2,6,0,9,-1,0,-1032,-5,0
2026-01-12 14:55:36.981,SCALED_IMU2,1185046,SCALED_IMU2,4848,0,5,0,9,-2,0,-1031,-6,0
