SystemTime_ISO,MsgType,FC_Time_us,clipping_0,clipping_1,clipping_2,mavpackettype,vibration_x,vibration_y,vibration_z
2026-01-12 14:55:36.541,VIBRATION,1184591821,0,0,0,VIBRATION,0.10937274992465973,0.1003466546535492,0.08893673866987228
2026-01-12 14:55:36.548,VIBRATION,1184611221,0,0,0,VIBRATION,0.11086151003837585,0.10045652091503143,0.08829563111066818
2026-01-12 14:55:36.562,VIBRATION,1184629068,0,0,0,VIBRATION,0.11050987988710403,0.10074213892221451,0.08910466730594635
2026-01-12 14:55:36.583,VIBRATION,1184651408,0,0,0,VIBRATION,0.11103802919387817,0.10210660099983215,0.08807750791311264
2026-01-12 14:55:36.603,VIBRATION,1184669022,0,0,0,VIBRATION,0.10997050255537033,0.10115529596805573,0.08681224286556244
2026-01-12 14:55:36.624,VIBRATION,1184691672,0,0,0,VIBRATION,0.11010652035474777,0.10098491609096527,0.08589764684438705
2026-01-12 14:55:36.643,VIBRATION,1184711156,0,0,0,VIBRATION,0.11027009040117264,0.10135496407747269,0.08635291457176208
2026-01-12 14:55:36.663,VIBRATION,1184729120,0,0,0,VIBRATION,0.11015639454126358,0.10215713828802109,0.08624181896448135
2026-01-12 14:55:36.683,VIBRATION,1184751437,0,0,0,VIBRATION,0.10906274616718292,0.10341579467058182,0.08519747108221054
2026-01-12 14:55:36.702,VIBRATION,1184768932,0,0,0,VIBRATION,0.10740381479263306,0.10161494463682175,0.08459587395191193
2026-01-12 14:55:36.724,VIBRATION,1184791668,0,0,0,VIBRATION,0.10859106481075287,0.10041948407888412,0.08541599661111832
2026-01-12 14:55:36.743,VIBRATION,1184811266,0,0,0,VIBRATION,0.1096331775188446,0.10090792924165726,0.08471345156431198
2026-01-12 14:55:36.763,VIBRATION,1184831239,0,0,0,VIBRATION,0.10977113991975784,0.10189007967710495,0.08488794416189194
2026-01-12 14:55:36.783,VIBRATION,1184848991,0,0,0,VIBRATION,0.11039119958877563,0.10447212308645248,0.08697958290576935
2026-01-12 14:55:36.803,VIBRATION,1184868948,0,0,0,VIBRATION,0.11101732403039932,0.10417642444372177,0.08625083416700363
2026-01-12 14:55:36.822,VIBRATION,1184889456,0,0,0,VIBRATION,0.10955886542797089,0.10265383124351501,0.0861465260386467
2026-01-12 14:55:36.843,VIBRATION,1184911183,0,0,0,VIBRATION,0.11004848778247833,0.10271891206502914,0.08619315177202225
2026-01-12 14:55:36.863,VIBRATION,1184931276,0,0,0,VIBRATION,0.1116003692150116,0.10398098826408386,0.08582531660795212
2026-01-12 14:55:36.883,VIBRATION,1184951419,0,0,0,VIBRATION,0.11259584873914719,0.10547857731580734,0.08571590483188629
2026-01-12 14:55:36.903,VIBRATION,1184968945,0,0,0,VIBRATION,0.1109006255865097,0.10354939848184586,0.08401675522327423
2026-01-12 14:55:36.922,VIBRATION,1184989452,0,0,0,VIBRATION,0.11189263314008713,0.1036323681473732,0.08518962562084198
2026-01-12 14:55:36.943,VIBRATION,1185011216,0,0,0,VIBRATION,0.11269484460353851,0.10370302200317383,0.08540897071361542
2026-01-12 14:55:36.963,VIBRATION,1185031232,0,0,0,VIBRATION,0.11257366091012955,0.10309144854545593,0.08751963078975677
2026-01-12 14:55:36.983,VIBRATION,1185048929,0,0,0,VIBRATION,0.11340498179197311,0.1043175756931305,0.0881543830037117
2026-01-12 14:55:37.003,VIBRATION,1185071519,0,0,0,VIBRATION,0.11246802657842636,0.10304363071918488,0.08673398196697235
2026-01-12 14:55:37.023,VIBRATION,1185089519,0,0,0,VIBRATION,0.11095450818538666,0.10093950480222702,0.08710484206676483
2026-01-12 14:55:37.043,VIBRATION,1185111264,0,0,0,VIBRATION,0.11043335497379303,0.10015325248241425,0.08758353441953659
2026-01-12 14:55:37.063,VIBRATION,1185131249,0,0,0,VIBRATION,0.11019906401634216,0.10101224482059479,0.08699369430541992
2026-01-12 14:55:37.083,VIBRATION,1185148961,0,0,0,VIBRATION,0.10862516611814499,0.10063932090997696,0.0867033451795578
2026-01-12 14:55:37.103,VIBRATION,1185171523,0,0,0,VIBRATION,0.10728170722723007,0.09996609389781952,0.08783131092786789
2026-01-12 14:55:37.123,VIBRATION,1185189523,0,0,0,VIBRATION,0.10701355338096619,0.10139470547437668,0.08702005445957184
2026-01-12 14:55:37.143,VIBRATION,1185211207,0,0,0,VIBRATION,0.10657675564289093,0.10121823847293854,0.08749799430370331
2026-01-12 14:55:37.163,VIBRATION,1185231300,0,0,0,VIBRATION,0.10650167614221573,0.10033787786960602,0.08850455284118652
2026-01-12 14:55:37.183,VIBRATION,1185248958,0,0,0,VIBRATION,0.10763397812843323,0.10047677159309387,0.08966902643442154
2026-01-12 14:55:37.204,VIBRATION,1185271597,0,0,0,VIBRATION,0.10687927901744843,0.10106289386749268,0.08950585871934891
2026-01-12 14:55:37.222,VIBRATION,1185289536,0,0,0,VIBRATION,0.10532521456480026,0.10015065222978592,0.08848936855792999
2026-01-12 14:55:37.243,VIBRATION,1185309127,0,0,0,VIBRATION,0.10579727590084076,0.09970796853303909,0.089353047311306
2026-01-12 14:55:37.263,VIBRATION,1185329192,0,0,0,VIBRATION,0.10575541853904724,0.09911099076271057,0.09057381749153137
2026-01-12 14:55:37.283,VIBRATION,1185348970,0,0,0,VIBRATION,0.10686834156513214,0.09960667043924332,0.09095713496208191
2026-01-12 14:55:37.303,VIBRATION,1185371455,0,0,0,VIBRATION,0.10723794996738434,0.09943385422229767,0.09162217378616333
2026-01-12 14:55:37.324,VIBRATION,1185391710,0,0,0,VIBRATION,0.10884416848421097,0.1011538878083229,0.09010077267885208
2026-01-12 14:55:37.343,VIBRATION,1185409109,0,0,0,VIBRATION,0.10706748813390732,0.0991365909576416,0.09132283926010132
2026-01-12 14:55:37.363,VIBRATION,1185431203,0,0,0,VIBRATION,0.10628222674131393,0.09779971092939377,0.0919276550412178
2026-01-12 14:55:37.383,VIBRATION,1185448943,0,0,0,VIBRATION,0.10805755853652954,0.09822584688663483,0.09130074828863144
2026-01-12 14:55:37.405,VIBRATION,1185471438,0,0,0,VIBRATION,0.1096220389008522,0.09952178597450256,0.09000390022993088
2026-01-12 14:55:37.424,VIBRATION,1185491731,0,0,0,VIBRATION,0.10529645532369614,0.09621254354715347,0.09025213122367859
2026-01-12 14:55:37.443,VIBRATION,1185509188,0,0,0,VIBRATION,0.1073819175362587,0.09758470952510834,0.08951069414615631
2026-01-12 14:55:37.463,VIBRATION,1185531230,0,0,0,VIBRATION,0.10990164428949356,0.09978162497282028,0.08912839740514755
2026-01-12 14:55:37.483,VIBRATION,1185548926,0,0,0,VIBRATION,0.10952865332365036,0.10301275551319122,0.08792246133089066
2026-01-12 14:55:37.503,VIBRATION,1185571403,0,0,0,VIBRATION,0.10000981390476227,0.10283155739307404,0.08495505899190903
2026-01-12 14:55:37.523,VIBRATION,1185589545,0,0,0,VIBRATION,0.09934011846780777,0.0968623086810112,0.08699603378772736
2026-01-12 14:55:37.543,VIBRATION,1185609192,0,0,0,VIBRATION,0.11012598127126694,0.10246120393276215,0.09016342461109161
2026-01-12 14:55:37.563,VIBRATION,1185631167,0,0,0,VIBRATION,0.11317174136638641,0.10606567561626434,0.09022095054388046
2026-01-12 14:55:37.584,VIBRATION,1185648926,0,0,0,VIBRATION,0.10928163677453995,0.10294739156961441,0.08997064083814621
2026-01-12 14:55:37.603,VIBRATION,1185671388,0,0,0,VIBRATION,0.10657984763383865,0.10128448903560638,0.09023808687925339
2026-01-12 14:55:37.623,VIBRATION,1185691702,0,0,0,VIBRATION,0.10782359540462494,0.1018369197845459,0.09059049189090729
2026-01-12 14:55:37.643,VIBRATION,1185709154,0,0,0,VIBRATION,0.10922693461179733,0.10311656445264816,0.08926175534725189
2026-01-12 14:55:37.662,VIBRATION,1185729077,0,0,0,VIBRATION,0.1079312413930893,0.10134916007518768,0.08861974626779556
2026-01-12 14:55:37.684,VIBRATION,1185751491,0,0,0,VIBRATION,0.10686922818422318,0.10084471106529236,0.08948876708745956
2026-01-12 14:55:37.703,VIBRATION,1185771450,0,0,0,VIBRATION,0.10712231695652008,0.10304883122444153,0.0889592245221138
2026-01-12 14:55:37.723,VIBRATION,1185791732,0,0,0,VIBRATION,0.10660204291343689,0.10338334739208221,0.08915552496910095
2026-01-12 14:55:37.743,VIBRATION,1185811245,0,0,0,VIBRATION,0.10631848126649857,0.10273107886314392,0.08911231905221939
2026-01-12 14:55:37.763,VIBRATION,1185831181,0,0,0,VIBRATION,0.10695388913154602,0.1023612841963768,0.08691488951444626
2026-01-12 14:55:37.784,VIBRATION,1185851424,0,0,0,VIBRATION,0.10675270110368729,0.10080026090145111,0.08616819232702255
2026-01-12 14:55:37.803,VIBRATION,1185868888,0,0,0,VIBRATION,0.10639477521181107,0.1007961854338646,0.08596808463335037
2026-01-12 14:55:37.823,VIBRATION,1185891764,0,0,0,VIBRATION,0.105430468916893,0.09801893681287766,0.08626668900251389
2026-01-12 14:55:37.843,VIBRATION,1185909101,0,0,0,VIBRATION,0.10592803359031677,0.09627813845872879,0.08590074628591537
2026-01-12 14:55:37.864,VIBRATION,1185929097,0,0,0,VIBRATION,0.10744752734899521,0.0980815514922142,0.08561702817678452
2026-01-12 14:55:37.884,VIBRATION,1185951385,0,0,0,VIBRATION,0.10686676949262619,0.09982530772686005,0.08566085249185562
2026-01-12 14:55:37.903,VIBRATION,1185968952,0,0,0,VIBRATION,0.10699495673179626,0.09926977008581161,0.08603266626596451
2026-01-12 14:55:37.924,VIBRATION,1185991794,0,0,0,VIBRATION,0.1061006709933281,0.09821151196956635,0.08586174249649048
2026-01-12 14:55:37.943,VIBRATION,1186011164,0,0,0,VIBRATION,0.10500023514032364,0.09882158786058426,0.08654241263866425
2026-01-12 14:55:37.962,VIBRATION,1186029065,0,0,0,VIBRATION,0.10560108721256256,0.09866868704557419,0.08806324005126953
2026-01-12 14:55:37.983,VIBRATION,1186051484,0,0,0,VIBRATION,0.10760187357664108,0.09911126643419266,0.08739407360553741
2026-01-12 14:55:38.003,VIBRATION,1186069021,0,0,0,VIBRATION,0.10772570967674255,0.09985990822315216,0.08672456443309784
2026-01-12 14:55:38.023,VIBRATION,1186091778,0,0,0,VIBRATION,0.10706564038991928,0.09852303564548492,0.08797995001077652
2026-01-12 14:55:38.043,VIBRATION,1186111106,0,0,0,VIBRATION,0.1081579402089119,0.09990038722753525,0.08731219172477722
2026-01-12 14:55:38.063,VIBRATION,1186129077,0,0,0,VIBRATION,0.1086575984954834,0.10049737989902496,0.08668817579746246
2026-01-12 14:55:38.083,VIBRATION,1186151417,0,0,0,VIBRATION,0.10920456796884537,0.09827826917171478,0.08890266716480255
2026-01-12 14:55:38.103,VIBRATION,1186168973,0,0,0,VIBRATION,0.10964293032884598,0.09833420813083649,0.09008078277111053
2026-01-12 14:55:38.123,VIBRATION,1186191784,0,0,0,VIBRATION,0.10840429365634918,0.0976300984621048,0.09012492746114731
2026-01-12 14:55:38.143,VIBRATION,1186211152,0,0,0,VIBRATION,0.10587161034345627,0.09721077233552933,0.0893135592341423
2026-01-12 14:55:38.163,VIBRATION,1186229022,0,0,0,VIBRATION,0.10644719004631042,0.09777054190635681,0.09055324643850327
2026-01-12 14:55:38.184,VIBRATION,1186251414,0,0,0,VIBRATION,0.10812944918870926,0.09844226390123367,0.0908692330121994
2026-01-12 14:55:38.203,VIBRATION,1186268917,0,0,0,VIBRATION,0.10826218873262405,0.09929949790239334,0.08962085843086243
2026-01-12 14:55:38.223,VIBRATION,1186291767,0,0,0,VIBRATION,0.10683271288871765,0.09885323792695999,0.0887216106057167
2026-01-12 14:55:38.243,VIBRATION,1186311160,0,0,0,VIBRATION,0.10686276108026505,0.09735336154699326,0.08869897574186325
2026-01-12 14:55:38.263,VIBRATION,1186329115,0,0,0,VIBRATION,0.10682675987482071,0.09713684022426605,0.08763934671878815
2026-01-12 14:55:38.284,VIBRATION,1186351426,0,0,0,VIBRATION,0.10743691027164459,0.09730581939220428,0.08864666521549225
2026-01-12 14:55:38.303,VIBRATION,1186368939,0,0,0,VIBRATION,0.10865515470504761,0.09677956253290176,0.08900531381368637
2026-01-12 14:55:38.323,VIBRATION,1186391714,0,0,0,VIBRATION,0.10871370881795883,0.09792586416006088,0.08887084573507309
2026-01-12 14:55:38.343,VIBRATION,1186411186,0,0,0,VIBRATION,0.1105903908610344,0.09952224045991898,0.0870450884103775
2026-01-12 14:55:38.363,VIBRATION,1186429164,0,0,0,VIBRATION,0.11072876304388046,0.09935683012008667,0.08761969208717346
2026-01-12 14:55:38.384,VIBRATION,1186451446,0,0,0,VIBRATION,0.11017484217882156,0.09984030574560165,0.08955055475234985
2026-01-12 14:55:38.403,VIBRATION,1186468931,0,0,0,VIBRATION,0.11155742406845093,0.10106319934129715,0.08938893675804138
2026-01-12 14:55:38.423,VIBRATION,1186489411,0,0,0,VIBRATION,0.11041251569986343,0.09988196939229965,0.09040480852127075
2026-01-12 14:55:38.444,VIBRATION,1186511204,0,0,0,VIBRATION,0.10934577137231827,0.09960848093032837,0.08908194303512573
2026-01-12 14:55:38.464,VIBRATION,1186531270,0,0,0,VIBRATION,0.10816662758588791,0.10025326162576675,0.08985097706317902
2026-01-12 14:55:38.483,VIBRATION,1186551425,0,0,0,VIBRATION,0.10754688084125519,0.10047333687543869,0.08899316936731339
2026-01-12 14:55:38.503,VIBRATION,1186571514,0,0,0,VIBRATION,0.10756878554821014,0.09961201995611191,0.08813025057315826
2026-01-12 14:55:38.523,VIBRATION,1186589469,0,0,0,VIBRATION,0.10807251930236816,0.09987436234951019,0.08761229366064072
2026-01-12 14:55:38.544,VIBRATION,1186611254,0,0,0,VIBRATION,0.10764901340007782,0.09969263523817062,0.0874178409576416
2026-01-12 14:55:38.564,VIBRATION,1186631275,0,0,0,VIBRATION,0.10563883185386658,0.10158354043960571,0.08604030311107635
2026-01-12 14:55:38.583,VIBRATION,1186648944,0,0,0,VIBRATION,0.10391299426555634,0.10138189047574997,0.08430927991867065
2026-01-12 14:55:38.603,VIBRATION,1186671513,0,0,0,VIBRATION,0.10343661904335022,0.09941095113754272,0.08618948608636856
2026-01-12 14:55:38.623,VIBRATION,1186689506,0,0,0,VIBRATION,0.10352686047554016,0.09831354022026062,0.08797021955251694
2026-01-12 14:55:38.644,VIBRATION,1186711262,0,0,0,VIBRATION,0.10452792793512344,0.09871312975883484,0.08642785996198654
2026-01-12 14:55:38.663,VIBRATION,1186731269,0,0,0,VIBRATION,0.10504819452762604,0.09862008690834045,0.08500206470489502
2026-01-12 14:55:38.684,VIBRATION,1186748929,0,0,0,VIBRATION,0.10488632321357727,0.09900743514299393,0.08655398339033127
2026-01-12 14:55:38.703,VIBRATION,1186771494,0,0,0,VIBRATION,0.10565710812807083,0.09997371584177017,0.08742382377386093
2026-01-12 14:55:38.723,VIBRATION,1186791635,0,0,0,VIBRATION,0.1061246320605278,0.09907513856887817,0.08760891109704971
2026-01-12 14:55:38.743,VIBRATION,1186811219,0,0,0,VIBRATION,0.106806680560112,0.09856975823640823,0.08916214853525162
2026-01-12 14:55:38.763,VIBRATION,1186831282,0,0,0,VIBRATION,0.10509464144706726,0.09778294712305069,0.09032084792852402
2026-01-12 14:55:38.784,VIBRATION,1186848890,0,0,0,VIBRATION,0.10552642494440079,0.097956083714962,0.08861537277698517
2026-01-12 14:55:38.803,VIBRATION,1186871574,0,0,0,VIBRATION,0.1054670512676239,0.0986710637807846,0.08899825811386108
2026-01-12 14:55:38.823,VIBRATION,1186891692,0,0,0,VIBRATION,0.10586245357990265,0.09887003153562546,0.08844463527202606
2026-01-12 14:55:38.843,VIBRATION,1186911208,0,0,0,VIBRATION,0.10496233403682709,0.09710168838500977,0.08931904286146164
2026-01-12 14:55:38.863,VIBRATION,1186931205,0,0,0,VIBRATION,0.10610383749008179,0.09857218712568283,0.08760090172290802
2026-01-12 14:55:38.884,VIBRATION,1186948919,0,0,0,VIBRATION,0.10523993521928787,0.09739772230386734,0.08724531531333923
2026-01-12 14:55:38.903,VIBRATION,1186971472,0,0,0,VIBRATION,0.10625306516885757,0.09756679832935333,0.08857991546392441
2026-01-12 14:55:38.924,VIBRATION,1186991746,0,0,0,VIBRATION,0.10661077499389648,0.09957538545131683,0.08791112899780273
2026-01-12 14:55:38.943,VIBRATION,1187009115,0,0,0,VIBRATION,0.10735680907964706,0.09991113096475601,0.0880846455693245
2026-01-12 14:55:38.963,VIBRATION,1187031202,0,0,0,VIBRATION,0.10725069046020508,0.09951359033584595,0.08682004362344742
2026-01-12 14:55:38.983,VIBRATION,1187048915,0,0,0,VIBRATION,0.10785762220621109,0.10038874298334122,0.08750884234905243
2026-01-12 14:55:39.003,VIBRATION,1187071440,0,0,0,VIBRATION,0.10780124366283417,0.10014578700065613,0.08740316331386566
2026-01-12 14:55:39.024,VIBRATION,1187091655,0,0,0,VIBRATION,0.10618351399898529,0.09864264726638794,0.08847568184137344
2026-01-12 14:55:39.043,VIBRATION,1187109150,0,0,0,VIBRATION,0.10799692571163177,0.10156099498271942,0.08763831108808517
2026-01-12 14:55:39.063,VIBRATION,1187131213,0,0,0,VIBRATION,0.11002348363399506,0.10299220681190491,0.08630005270242691
2026-01-12 14:55:39.083,VIBRATION,1187148928,0,0,0,VIBRATION,0.10743790119886398,0.10009222477674484,0.08713532239198685
2026-01-12 14:55:39.103,VIBRATION,1187171396,0,0,0,VIBRATION,0.10833820700645447,0.10071053355932236,0.08953516185283661
2026-01-12 14:55:39.124,VIBRATION,1187191748,0,0,0,VIBRATION,0.11152465641498566,0.10311301797628403,0.08823869377374649
2026-01-12 14:55:39.143,VIBRATION,1187209149,0,0,0,VIBRATION,0.11391091346740723,0.1026751920580864,0.09054675698280334
2026-01-12 14:55:39.163,VIBRATION,1187229078,0,0,0,VIBRATION,0.12954673171043396,0.11604810506105423,0.09619960188865662
2026-01-12 14:55:39.184,VIBRATION,1187248881,0,0,0,VIBRATION,0.12303117662668228,0.11248766630887985,0.09433338791131973
2026-01-12 14:55:39.203,VIBRATION,1187271395,0,0,0,VIBRATION,0.11305966228246689,0.10333774238824844,0.09546776115894318
2026-01-12 14:55:39.224,VIBRATION,1187291823,0,0,0,VIBRATION,0.11484570801258087,0.10518553853034973,0.09512943774461746
2026-01-12 14:55:39.243,VIBRATION,1187309135,0,0,0,VIBRATION,0.12259618937969208,0.1093016117811203,0.089336097240448
2026-01-12 14:55:39.263,VIBRATION,1187329128,0,0,0,VIBRATION,0.12062649428844452,0.10786835849285126,0.08317795395851135
2026-01-12 14:55:39.283,VIBRATION,1187351469,0,0,0,VIBRATION,0.11114102602005005,0.10070820897817612,0.0796733871102333
2026-01-12 14:55:39.303,VIBRATION,1187368955,0,0,0,VIBRATION,0.11379162967205048,0.10526611655950546,0.07943148910999298
